id,nombre,edad,ciudad,carrera,semestre,promedio,trabaja,ingreso_mensual,internet,computadora
1,Paola 1,21,Villa Nueva,Ing. Eléctrica,4,84,True,2870,True,False
2,Luis 2,19,Quetzaltenango,Ing. Sistemas,7,91,False,7581,False,True
3,Javier 3,21,Antigua,Ing. Electrónica,3,72,False,7780,True,True
4,Andrés 4,19,Villa Nueva,Ing. Sistemas,1,69,True,4406,True,True
5,María 5,18,Villa Nueva,Ing. Sistemas,2,84,False,2430,False,True
6,Javier 6,20,Guatemala,Ing. Sistemas,3,63,False,4531,True,True
7,Andrés 7,29,Guatemala,Ing. Eléctrica,5,87,True,3128,True,True
8,Andrés 8,20,Guatemala,Ing. Electrónica,9,97,True,3313,True,True
9,Diego 9,20,Mixco,Ing. Sistemas,9,65,False,5478,True,False
10,María 10,29,Antigua,Ing. Electrónica,5,86,False,7921,True,True
11,Paola 11,18,Mixco,Ing. Electrónica,1,63,False,5623,False,False
12,Diego 12,18,Antigua,Ing. Sistemas,4,90,False,4580,True,True
13,Sofía 13,18,Guatemala,Ing. Electrónica,6,69,False,5209,False,False
14,Lucía 14,18,Villa Nueva,Ing. Eléctrica,10,94,True,5209,False,True
15,Andrés 15,19,Villa Nueva,Ing. Eléctrica,2,73,True,2745,True,True
16,María 16,29,Quetzaltenango,Ing. Sistemas,9,71,True,7458,True,True
17,Javier 17,21,Mixco,Ing. Sistemas,2,83,False,3756,True,True
18,Diego 18,29,Villa Nueva,Ing. Electrónica,2,63,True,6485,True,False
19,Luis 19,27,Villa Nueva,Ing. Sistemas,10,64,False,5666,False,False
20,Ana 20,19,Guatemala,Ing. Sistemas,8,78,True,5340,False,True
21,Ana 21,22,Guatemala,Ing. Sistemas,3,69,False,5166,True,True
22,Ana 22,19,Guatemala,Ing. Sistemas,3,62,False,7677,True,False
23,Ana 23,25,Quetzaltenango,Ing. Sistemas,1,89,True,4946,False,True
24,Javier 24,29,Guatemala,Ing. Sistemas,1,86,False,3538,True,True
25,Lucía 25,28,Quetzaltenango,Ing. Sistemas,5,81,True,5991,False,True
26,Carlos 26,28,Antigua,Ing. Sistemas,5,62,False,2918,True,False
27,Diego 27,24,Guatemala,Ing. Eléctrica,6,81,False,2031,False,True
28,Javier 28,27,Mixco,Ing. Sistemas,1,71,False,6323,False,False
29,Andrés 29,29,Guatemala,Ing. Electrónica,7,65,False,5664,True,False
30,María 30,25,Villa Nueva,Ing. Eléctrica,4,60,True,6923,True,False
31,Lucía 31,23,Guatemala,Ing. Electrónica,5,88,True,6772,True,True
32,Paola 32,23,Antigua,Ing. Sistemas,2,81,True,3611,True,True
33,Paola 33,30,Antigua,Ing. Eléctrica,3,67,False,5274,True,False
34,María 34,28,Mixco,Ing. Electrónica,4,72,False,6536,True,False
35,Sofía 35,22,Guatemala,Ing. Eléctrica,4,68,True,4977,False,True
36,Paola 36,30,Villa Nueva,Ing. Sistemas,4,76,False,7228,False,False
37,Diego 37,22,Quetzaltenango,Ing. Electrónica,1,82,False,5468,True,True
38,Luis 38,27,Guatemala,Ing. Electrónica,8,65,False,5623,True,False
39,Carlos 39,19,Antigua,Ing. Eléctrica,2,77,True,6932,True,True
40,Carlos 40,27,Guatemala,Ing. Electrónica,3,74,False,7251,True,False
41,Javier 41,19,Mixco,Ing. Eléctrica,10,100,True,7847,False,True
42,María 42,18,Mixco,Ing. Electrónica,5,66,False,2260,True,False
43,María 43,28,Mixco,Ing. Sistemas,10,85,False,3972,True,True
44,María 44,25,Guatemala,Ing. Eléctrica,9,84,True,6923,True,False
45,Paola 45,30,Villa Nueva,Ing. Eléctrica,4,73,False,2568,True,False
46,Carlos 46,18,Guatemala,Ing. Electrónica,6,82,True,7593,True,True
47,Diego 47,27,Quetzaltenango,Ing. Electrónica,1,70,False,6190,True,False
48,Carlos 48,18,Antigua,Ing. Eléctrica,7,90,False,4092,False,False
49,Lucía 49,19,Guatemala,Ing. Electrónica,1,88,False,3636,True,False
50,Ana 50,18,Quetzaltenango,Ing. Sistemas,1,92,True,5819,False,False
51,Lucía 51,23,Quetzaltenango,Ing. Electrónica,8,77,False,3412,False,True
52,Ana 52,23,Antigua,Ing. Sistemas,7,75,True,7036,False,True
53,María 53,25,Mixco,Ing. Eléctrica,2,85,True,5151,True,False
54,Lucía 54,19,Antigua,Ing. Eléctrica,2,90,False,6966,True,True
55,Diego 55,25,Mixco,Ing. Eléctrica,4,68,True,5600,True,True
56,Paola 56,20,Guatemala,Ing. Eléctrica,3,91,True,4333,False,False
